,cvr_nummer,navn,kommune_navn,antal_ansatte
282,35787445,Entec,SLAGELSE,0.0
283,33282079,flakkebjerg landsbyråd,SLAGELSE,
284,27240771,M.L.A. HOLDING ApS,SLAGELSE,
285,21275573,TÅRNBORGSALONEN                   V/JETTE GALDYN,SLAGELSE,0.0
286,36077158,KOLDSØ AUTOTEKNIK ApS,SLAGELSE,5.0
287,36086785,BILLIT ApS,SLAGELSE,
288,32595847,Havrebjerg Sogneforening,SLAGELSE,
289,16674087,SLAGELSE BRANDMANDSFORENING,SLAGELSE,
290,27102565,Stenstuegade 9 I/S,SLAGELSE,0.0
291,39904519,BBMCDK Klubhus Øst,SLAGELSE,
292,36081538,360ON365 HOLDING ApS,SLAGELSE,
293,33530528,Slagelse Floorball,SLAGELSE,
294,32013813,Klima Solutions v/Christian Pedersen,SLAGELSE,0.0
295,33427107,A/B Gadekæret,SLAGELSE,
296,26652650,Kirkelygaard                      v/Winnie Søndergaard Nielsen,HASHØJ,0.0
297,40170340,ChokoLotte,SLAGELSE,
298,72396553,GÅRDEJER JØRGEN FRANDSEN,SLAGELSE,0.0
299,26123690,NYBOLIG SLAGELSE A/S,SLAGELSE,7.0
300,25615816,Advokatfirmaet Søren Dybdahl Andersen,SLAGELSE,1.0
301,34471061,BONUSHUSET.DK ApS,SLAGELSE,
302,38709739,Eyes For You,SLAGELSE,0.0
303,12389515,Sønderup Menighedsråd,SLAGELSE,5.0
304,31789680,Vemmelev Fodboldklub,SLAGELSE,
305,30253329,PBU Korsør,SLAGELSE,
306,33023561,Dansk Røde Kors - Skælskør Afdeling,SLAGELSE,
307,32758444,Andelsboligforeningen Baghuset,SLAGELSE,
308,27478522,BRIMA HOLDING ApS,SLAGELSE,
309,32799884,Slagelse In-Line Klub,SLAGELSE,1.0
310,37506443,Pedersens,SLAGELSE,0.0
311,20901942,LYNGE CONSULT                     V/NIELS LYNGE,SLAGELSE,0.0
312,28969511,R.K. EJENDOMME HOLDING ApS,SLAGELSE,
313,35816615,GDR HELGE CHRISTIANSEN,SLAGELSE,0.0
314,32813550,Andelsboligforeningen Mosevænget,SLAGELSE,
315,21247979,F. SCHUBERT'S CAFETERIA           V/FLEMMING SCHUBERT,SLAGELSE,0.0
316,33799683,Picnickoncerter i Slagelse Lystanlæg,SLAGELSE,
317,35582487,LC 87 Slagelse,SLAGELSE,
318,53488412,HAVREBJERG FORSAMLINGSHUS,SLAGELSE,
319,26957176,Tommy Nielsen,SLAGELSE,0.0
320,19381544,Andersen Media                    v/Ole Andersen,SLAGELSE,0.0
321,29530440,ALMEGAARD SLAGELSE HOLDING ApS,SLAGELSE,1.0
322,30009797,HN Fodspecialist v/Helle Nielsen,SLAGELSE,0.0
323,31804876,Royal Tan Solcenter v/Conni Birgit Larsen,SLAGELSE,0.0
324,36556838,PRANAWELLNESS ApS,SLAGELSE,0.0
325,19957594,MURERFIRMAET ARNDT ANDERSENS EFTF.V/ JOHNNY JENSEN ApS,SLAGELSE,5.0
326,13912998,A/S PSE 38 NR. 1014,SLAGELSE,29.0
327,31707900,Lundberg Accessories v/Maja Lundberg Rasmussen,SLAGELSE,3.0
328,83199415,SLAGELSETRYK A/S,SLAGELSE,12.0
329,24241785,HENRIK HJORT HARBOE HOLDING ApS,SLAGELSE,7.0
330,10367794,SLAGELSE MALERLAUG,SLAGELSE,0.0
331,33601212,TAS Service v/Tatjana Shejki,SLAGELSE,0.0
332,38612212,Growth Marketer,SLAGELSE,0.0
333,40223355,D.S Event v/ Daniel Sørensen,SLAGELSE,
334,35499873,Bridge By Words,SLAGELSE,0.0
335,36720689,Holding 1704 ApS,SLAGELSE,
336,27736033,SK-VAND A/S,SLAGELSE,
337,29336660,Salon Bonita v/Marianne Laugesen,SLAGELSE,0.0
338,33678282,Danmarks Socialdemokratiske Ungdom Slagelse,SLAGELSE,
339,39187337,Maler Christensen ApS,SLAGELSE,3.0
340,38844350,MG Rådgivende Ingeniør IVS,SLAGELSE,1.0
341,32135773,Skælskørfotograferne,SLAGELSE,
342,27772021,FLOWLOG ApS,SLAGELSE,
343,25307240,K.K.Consult                       V/Kristian K. Henriksen,SLAGELSE,
344,26209447,Cafe WhatEver v/Martin R Nielsen,SLAGELSE,0.0
345,16093300,STOREBÆLTS AFSYRING OG FLYTTE-    FORRETNING V/ JIMMY NIELSEN,SLAGELSE,0.0
346,72857356,REG REVISOR ESBEN SØRENSEN,SLAGELSE,1.0
347,53489311,OTTESTRUP FORSAMLINGSHUS,SLAGELSE,
348,32006566,Søren Egeskov,SLAGELSE,1.0
349,38422545,AM Bogføring,SLAGELSE,0.0
350,27000509,Slagelse Cykel Bud                v/Jan Pedersen,SLAGELSE,0.0
351,28610491,Carstenpro v/ Carsten Pedersen,SLAGELSE,0.0
352,21888583,J.P.Hjemmeservice                 v/J Pedersen & J Pedersen,SLAGELSE,0.0
353,34840873,Kano v/Kasper Nordkvist,SLAGELSE,0.0
